pitcher,year,n_starts,total_pitches,weighted_catcher_framing_runs_per_100,weighted_catcher_framing_runs
645261,2025,31.0,2893.0,0.23110963347082591,1.468692130847333
646242,2021,2.0,139.0,-0.10607091242635314,-0.6368802541772033
646242,2022,3.0,183.0,-0.3186699843855035,-1.4038504015566422
646242,2023,1.0,30.0,-0.1828958109603644,-0.6986619978685937
646242,2024,1.0,82.0,0.7522926167897507,8.17742074450459
647315,2022,1.0,14.0,0.2317450823576626,2.1853561266327617
647336,2018,5.0,405.0,0.36282652218515055,2.4084626799187694
647336,2019,29.0,2561.0,0.7193795010384839,5.268589353772428
647336,2023,6.0,507.0,0.08696654160520158,0.691473348200768
647336,2024,9.0,746.0,-0.2897275818939869,-2.049738072103835
647336,2025,17.0,1422.0,-0.5064115852846406,-4.307472362958241
649144,2021,8.0,640.0,-0.6754121929876831,-5.709656895195605
650382,2019,1.0,86.0,0.4411238509545253,4.614155480984337
650496,2021,11.0,823.0,-0.07659534746723999,-0.39707225652007166
650530,2022,4.0,317.0,0.0820464168389368,0.6629350480586089
650633,2021,6.0,410.0,-0.4421163517436628,-3.859675750722173
650633,2023,9.0,657.0,0.4873352889126833,1.4015679069026377
650633,2024,26.0,2458.0,-0.01924924692784033,-0.1660586536009745
650633,2025,15.0,1219.0,0.037511657281962804,0.2574876148676706
650644,2019,10.0,863.0,0.402173619641499,3.9268128031345806
650644,2021,20.0,1803.0,-0.05489147157601495,-0.47527999422628353
650644,2022,20.0,1592.0,-0.016876632759245596,0.09745213349137814
650644,2023,23.0,2010.0,0.43638327596816673,1.4434631540096334
650644,2024,31.0,2700.0,0.2514931007401933,2.1166567280745903
650644,2025,18.0,1538.0,-0.3994774606358745,-2.131394561799528
650668,2021,5.0,425.0,-0.5783786908907779,-4.194601775889165
650893,2019,2.0,148.0,-0.5279824875007453,-2.180567673378076
650895,2018,10.0,250.0,-0.3151296952837415,-1.526696322785755
650895,2019,6.0,113.0,-0.10434404577324806,-0.6612738066955735
650911,2021,1.0,15.0,-1.109355756096469,-1.4421624829254098
650911,2022,3.0,194.0,-0.14199089511243118,-0.15580221952182302
650911,2023,18.0,1451.0,-0.5129935655413017,-4.949453476716044
650911,2024,31.0,2798.0,-0.49206974653201313,-3.5553701200625607
650911,2025,32.0,2897.0,-0.4227967838673559,-4.179880429524092
650959,2021,1.0,27.0,-0.6486654397014547,-6.765580536086172
656186,2024,1.0,27.0,0.4408572126484374,3.56653485032586
656212,2021,8.0,587.0,0.5536830020614767,2.9776529487928385
656222,2018,1.0,88.0,0.5322529191323451,0.8728947873770447
656222,2019,4.0,293.0,-0.06329720347118617,-0.4017806804559802
656222,2022,7.0,206.0,-0.11350872670248356,-1.0535863772701597
656222,2023,8.0,253.0,-0.2778264016381029,-2.0570565450613416
656222,2025,2.0,29.0,0.6771464370818168,4.469166484739992
656232,2021,2.0,109.0,0.1767359104602682,1.7437822419325413
656232,2023,11.0,1018.0,-0.7821620670977368,-7.15436887348974
656234,2023,3.0,83.0,-0.30357000166278564,-4.423470623178685
656240,2025,2.0,86.0,-0.49989238492405585,-1.3118903992469741
656257,2018,4.0,316.0,0.8067492375844413,3.4031964415597815
656257,2022,1.0,44.0,0.23174508235766259,2.1853561266327617
656271,2019,6.0,476.0,-0.20484215580513002,-0.755220664608127
656271,2024,1.0,28.0,-0.6710960637088744,-2.342125262343975
656271,2025,1.0,13.0,-0.2557020477666679,-1.2785102388333383
