pitcher,game_pk,game_date,year,catcher_mlbam,n_pitches
453385,529487,2018-04-04,2018,595978,102
453385,529556,2018-04-09,2018,595978,76
453385,529623,2018-04-14,2018,454560,89
453385,529716,2018-04-21,2018,595978,95
453385,529793,2018-04-27,2018,595978,88
453385,529867,2018-05-02,2018,454560,101
453385,529947,2018-05-08,2018,607257,102
453385,530013,2018-05-13,2018,607257,102
453385,530089,2018-05-19,2018,607257,84
453385,530164,2018-05-25,2018,607257,102
453385,530234,2018-05-30,2018,607257,99
453385,530301,2018-06-04,2018,607257,109
453385,530384,2018-06-10,2018,607257,94
453385,530446,2018-06-15,2018,607257,96
453385,530538,2018-06-22,2018,607257,79
