batter,year,prior_career_fp_per_pa,prior_career_pa
467827,2015,,0
467827,2016,0.5704584040747029,589
467827,2017,0.525231719876416,971
467827,2018,0.5533285612025769,1397
467827,2019,0.5428881650380022,1842
467827,2021,0.5438432835820896,2144
468406,2015,,0
471083,2015,,0
471083,2016,0.4516129032258064,403
471083,2017,0.462882096069869,687
471865,2015,,0
471865,2016,0.6540983606557377,610
471865,2017,0.6438906752411575,1244
471865,2018,0.6023622047244095,1778
471865,2019,0.5922032413491021,2283
472528,2015,,0
472528,2016,0.5242914979757085,494
472528,2017,0.5215311004784688,836
472528,2018,0.5141471301535974,1237
474233,2015,,0
474233,2016,0.4782608695652174,230
474443,2015,,0
474443,2016,0.3738738738738739,222
474568,2015,,0
474568,2016,0.3558139534883721,430
474568,2017,0.43984220907297833,1014
474568,2018,0.4618320610687023,1572
474568,2019,0.45345943255350923,2009
474568,2021,0.4504385964912281,2280
474832,2015,,0
474832,2016,0.5350089766606823,557
474832,2017,0.5564715581203628,1213
474832,2018,0.5608878224355129,1667
474832,2019,0.5407442298634009,2123
474832,2020,0.5315808689302666,2739
474832,2021,0.54592186429061,2918
474832,2022,0.5656259472567444,3299
474832,2023,0.546566583263831,3597
474892,2015,,0
474892,2016,0.4217391304347826,460
474892,2017,0.47610459873760147,1109
475100,2015,,0
475100,2016,0.4031620553359684,253
475174,2015,,0
475174,2016,0.5348258706467661,402
475174,2017,0.5080213903743316,935
475174,2018,0.544955387783116,1457
475174,2019,0.535696701132447,2031
475247,2015,,0
475247,2016,0.362126245847176,301
475247,2018,0.3375262054507337,477
475253,2015,,0
475253,2016,0.5683890577507599,329
475253,2017,0.4507462686567164,670
475253,2018,0.5500381970970206,1309
475253,2019,0.5386232264844981,1903
475253,2020,0.5353577371048253,2404
475582,2015,,0
475582,2016,0.589873417721519,395
475582,2017,0.49942062572421786,863
475582,2018,0.5905621096460791,1441
475582,2019,0.5975056689342404,1764
475582,2021,0.5885363357215967,1954
476633,2015,,0
476704,2015,,0
476704,2016,0.553030303030303,264
476704,2017,0.43217665615141954,634
476704,2018,0.5140625,1280
476704,2021,0.5377166156982671,1962
476704,2022,0.5266558966074314,2476
476883,2015,,0
476883,2016,0.5356415478615071,491
476883,2018,0.5374855824682814,867
477165,2015,,0
477165,2016,,107
477195,2015,,0
485567,2015,,0
485567,2016,,193
485567,2017,0.4384920634920635,504
488671,2015,,0
488671,2016,0.2694063926940639,219
488671,2017,0.26401869158878505,428
488671,2018,0.35447761194029853,804
488671,2019,0.3128007699711261,1039
488671,2021,0.330378726833199,1241
488681,2015,,0
488681,2016,0.3380782918149466,281
488721,2015,,0
488721,2016,0.3584070796460177,226
488721,2017,0.3556280587275693,613
488726,2015,,0
488726,2017,0.7224080267558528,598
488726,2018,0.6937307297019527,973
488726,2019,0.6932668329177057,1604
488726,2020,0.7023650156180277,2241
488726,2021,0.6965829559489501,2429
488726,2022,0.6802860061287027,2937
488771,2015,,0
488771,2016,0.2978723404255319,376
488771,2017,0.31034482758620685,754
488771,2019,0.35197934595524955,1162
488771,2021,0.3678720445062586,1438
488810,2015,,0
488818,2016,,0
488818,2018,0.4122137404580153,262
488862,2015,,0
488862,2016,0.5699831365935919,593
488862,2017,0.5356835769561479,1163
488912,2015,,0
489138,2015,,0
489138,2017,0.38,200
489149,2015,,0
489149,2016,0.49609375,512
489149,2017,0.4901098901098901,910
489149,2018,0.534699272967614,1513
489232,2016,,0
489267,2015,,0
489267,2016,,126
489267,2017,0.45066666666666666,375
489365,2016,,0
491676,2017,,0
491676,2018,0.39080459770114945,348
491696,2015,,0
491696,2017,,142
491696,2018,0.38095238095238093,336
492841,2016,,0
493114,2015,,0
493114,2016,0.5816326530612245,392
493114,2017,0.5664335664335665,858
493193,2016,,0
493316,2015,,0
493316,2016,0.6701183431952663,676
493316,2017,0.6710418375717802,1219
493316,2018,0.6688311688311688,1540
493329,2016,,0
493329,2017,,137
493329,2018,0.6324786324786325,702
493329,2019,0.6269592476489029,1276
493329,2020,0.6758474576271186,1888
493329,2021,0.657695939565628,2118
493329,2022,0.6603011384502387,2723
493329,2023,0.6262473540973692,3307
493351,2015,,0
493351,2016,0.4856687898089172,628
493472,2015,,0
493596,2015,,0
493596,2016,0.3881856540084388,237
493596,2019,0.4100580270793036,517
499624,2015,,0
500135,2018,,0
500135,2019,0.3446601941747573,206
500208,2015,,0
500208,2016,0.5884413309982487,571
500208,2017,0.6147783251231527,1015
500208,2018,0.5988219895287958,1528
500743,2015,,0
500743,2016,,158
500743,2017,0.45161290322580644,372
500743,2018,0.49262536873156343,678
500743,2019,0.472636815920398,1206
500743,2020,0.4821016166281755,1732
500743,2021,0.5024,1875
500743,2022,0.5097308488612836,2415
500743,2023,0.49041752224503765,2922
500743,2024,0.48655110579796773,3346
500743,2025,0.4971490632636438,3683
500871,2015,,0
500871,2016,0.5246636771300448,446
500871,2017,0.4532199270959903,823
500871,2018,0.4977307110438729,1322
500871,2019,0.525857654889913,1953
500871,2020,0.5625942684766214,2652
500871,2021,0.5492173913043479,2875
500871,2022,0.5558434081750144,3474
500871,2023,0.5433051269288203,4018
500874,2017,,0
500874,2018,0.6840390879478827,307
500874,2019,0.6109253065774805,897
501255,2015,,0
501303,2015,,0
501303,2017,,134
501303,2018,0.53125,320
501303,2019,0.4752186588921283,686
501303,2020,0.49023861171366595,922
501303,2021,0.4682306940371456,1023
501303,2022,0.48133116883116883,1232
501571,2015,,0
501571,2016,0.3991416309012875,466
501571,2017,0.40575079872204467,626
501571,2019,0.4071190211345939,899
501571,2021,0.39460370994940974,1186
501647,2015,,0
501659,2015,,0
501659,2016,0.5077519379844961,258
501659,2017,0.4955947136563877,454
501659,2018,0.4699537750385208,649
501659,2021,0.435,800
501896,2015,,0
501896,2016,0.4745762711864407,472
501896,2017,0.4512448132780083,964
501896,2018,0.4397549353301566,1469
501896,2019,0.4621424565339316,1783
501981,2015,,0
501981,2016,0.5613636363636364,440
501981,2017,0.580952380952381,1050
501981,2018,0.5863689776733255,1702
501981,2019,0.6071277047093764,2357
501981,2021,0.5724662746454514,2891
501983,2015,,0
502054,2015,,0
502054,2016,,173
502054,2017,0.4649859943977591,357
502054,2018,0.6238738738738738,888
502054,2019,0.6141192597669637,1459
502054,2020,0.6073793755912961,2114
502054,2021,0.5975882090218848,2239
502054,2022,0.5751517315244555,2801
502054,2023,0.5471532846715328,3425
502054,2024,0.55094726062468,3906
502054,2025,0.5336374002280502,4385
502082,2015,,0
502082,2016,0.4532967032967033,364
502082,2017,0.5063938618925832,782
502100,2016,,0
502100,2017,,134
502110,2015,,0
502110,2016,0.6033434650455927,658
502110,2017,0.6,1175
502110,2018,0.6736778846153846,1664
502110,2019,0.7137305699481865,2316
502110,2020,0.7114996637525218,2974
502110,2021,0.6889788293897883,3212
502110,2022,0.6778471138845554,3846
502110,2023,0.6518118388476255,4443
502110,2024,0.6489945155393053,4923
502117,2015,,0
502126,2015,,0
