batter,pa,woba,est_woba,year,gap
453943,172,0.3,0.294,2020,0.006000000000000005
454560,217,0.336,0.342,2015,-0.006000000000000005
454560,196,0.266,0.302,2016,-0.035999999999999976
454560,163,0.294,0.273,2017,0.020999999999999963
454560,183,0.325,0.321,2018,0.0040000000000000036
455104,317,0.281,0.286,2015,-0.004999999999999949
455104,338,0.282,0.313,2016,-0.031000000000000028
455104,316,0.367,0.327,2017,0.03999999999999998
455104,360,0.32,0.331,2018,-0.01100000000000001
455104,164,0.303,0.314,2019,-0.01100000000000001
455117,256,0.254,0.24,2015,0.014000000000000012
455117,253,0.294,0.303,2016,-0.009000000000000008
455117,471,0.279,0.275,2017,0.0040000000000000036
455117,404,0.275,0.257,2018,0.018000000000000016
455117,374,0.288,0.297,2019,-0.009000000000000008
455117,165,0.326,0.316,2020,0.010000000000000009
455117,426,0.258,0.269,2021,-0.01100000000000001
455117,379,0.264,0.257,2022,0.007000000000000006
455117,407,0.266,0.269,2023,-0.0030000000000000027
455117,147,0.181,0.221,2024,-0.04000000000000001
455117,161,0.251,0.251,2025,0.0
455139,273,0.332,0.325,2015,0.007000000000000006
455139,170,0.338,0.309,2016,0.029000000000000026
455139,309,0.369,0.339,2017,0.02999999999999997
455139,426,0.333,0.319,2018,0.014000000000000012
455139,437,0.336,0.316,2019,0.020000000000000018
455139,82,0.216,0.231,2020,-0.015000000000000013
455139,112,0.336,0.292,2021,0.04400000000000004
455139,220,0.251,0.246,2022,0.0050000000000000044
455369,91,0.322,0.263,2016,0.059
455755,172,0.29,0.277,2015,0.012999999999999956
455755,113,0.271,0.274,2016,-0.0030000000000000027
455755,144,0.207,0.251,2017,-0.04400000000000001
455759,356,0.332,0.292,2015,0.040000000000000036
455759,227,0.364,0.306,2016,0.057999999999999996
455759,276,0.31,0.304,2017,0.006000000000000005
455759,128,0.268,0.265,2018,0.0030000000000000027
455976,686,0.327,0.305,2015,0.02200000000000002
455976,684,0.321,0.337,2016,-0.016000000000000014
455976,670,0.321,0.32,2017,0.0010000000000000009
455976,705,0.345,0.345,2018,0.0
455976,469,0.332,0.35,2019,-0.01799999999999996
455976,141,0.307,0.31,2020,-0.0030000000000000027
456030,425,0.347,0.3,2015,0.046999999999999986
456030,698,0.358,0.331,2016,0.02699999999999997
456030,463,0.331,0.323,2017,0.008000000000000007
456078,378,0.321,0.342,2015,-0.02100000000000002
456078,457,0.319,0.298,2016,0.02100000000000002
456078,365,0.344,0.341,2017,0.002999999999999947
456078,181,0.308,0.322,2018,-0.014000000000000012
456078,251,0.287,0.3,2019,-0.013000000000000012
456121,231,0.302,0.308,2015,-0.006000000000000005
456124,87,0.111,0.18,2016,-0.06899999999999999
456124,219,0.278,0.285,2018,-0.006999999999999951
456422,482,0.269,0.279,2015,-0.010000000000000009
456422,413,0.298,0.268,2016,0.02999999999999997
456488,204,0.328,0.282,2015,0.04600000000000004
456488,595,0.324,0.299,2016,0.025000000000000022
456488,491,0.342,0.284,2017,0.05800000000000005
456488,502,0.292,0.28,2018,0.011999999999999955
456488,174,0.233,0.247,2019,-0.013999999999999985
456501,84,0.115,0.132,2016,-0.017
456665,325,0.308,0.286,2015,0.02200000000000002
456665,302,0.371,0.369,2016,0.0020000000000000018
456665,348,0.323,0.314,2017,0.009000000000000008
456665,251,0.382,0.393,2018,-0.01100000000000001
456665,99,0.224,0.26,2019,-0.036000000000000004
456714,601,0.311,0.335,2015,-0.02400000000000002
456714,274,0.324,0.377,2016,-0.05299999999999999
456715,604,0.36,0.364,2015,-0.0040000000000000036
456715,434,0.322,0.319,2016,0.0030000000000000027
456715,645,0.347,0.348,2017,-0.0010000000000000009
456715,620,0.359,0.342,2018,0.01699999999999996
456715,623,0.302,0.335,2019,-0.03300000000000003
456715,286,0.319,0.318,2021,0.0010000000000000009
456715,156,0.212,0.234,2022,-0.02200000000000002
456781,94,0.204,0.233,2015,-0.029000000000000026
456781,228,0.346,0.343,2019,0.002999999999999947
456781,203,0.357,0.32,2020,0.03699999999999998
456781,344,0.324,0.337,2021,-0.013000000000000012
456781,304,0.319,0.317,2022,0.0020000000000000018
456781,450,0.338,0.351,2023,-0.012999999999999956
456781,309,0.333,0.313,2024,0.020000000000000018
456781,179,0.277,0.259,2025,0.018000000000000016
457454,227,0.324,0.348,2015,-0.023999999999999966
457454,292,0.277,0.294,2016,-0.01699999999999996
457477,365,0.326,0.298,2015,0.028000000000000025
457477,267,0.276,0.315,2016,-0.03899999999999998
457477,70,0.222,0.243,2017,-0.02099999999999999
457574,78,0.3,0.312,2015,-0.01200000000000001
