batter,year,game_date,team_id,pa,ab,k,bb,h,hr,tb,r,rbi,sb,hbp,fp
136860,2017,2017-08-29,117,3,3,1,0,0,0,0,0,0,0,0,-1
136860,2017,2017-08-30,117,3,2,0,0,0,0,0,0,1,0,0,1
136860,2017,2017-08-31,117,3,2,2,0,0,0,0,0,0,0,1,-1
136860,2017,2017-09-05,117,4,3,0,1,0,0,0,1,0,0,0,2
136860,2017,2017-09-06,117,4,4,0,0,1,0,2,0,0,0,0,2
136860,2017,2017-09-08,117,4,4,1,0,0,0,0,0,0,0,0,-1
136860,2017,2017-09-09,117,4,3,0,1,2,0,3,1,0,0,0,5
136860,2017,2017-09-10,117,1,1,1,0,0,0,0,0,0,0,0,-1
136860,2017,2017-09-12,117,3,3,1,0,0,0,0,0,0,0,0,-1
136860,2017,2017-09-14,117,4,4,0,0,1,0,2,0,0,0,0,2
136860,2017,2017-09-16,117,4,4,0,0,3,0,4,1,2,0,0,7
136860,2017,2017-09-17,117,4,4,1,0,0,0,0,0,0,0,0,-1
136860,2017,2017-09-19,117,3,3,0,0,0,0,0,0,0,0,0,0
136860,2017,2017-09-21,117,4,4,1,0,0,0,0,0,0,0,0,-1
136860,2017,2017-09-24,117,1,1,0,0,1,0,1,0,0,0,0,1
136860,2017,2017-09-25,117,5,4,0,1,0,0,0,1,0,0,0,2
136860,2017,2017-09-27,117,5,5,2,0,1,0,1,1,0,0,0,0
136860,2017,2017-09-29,117,4,4,0,0,1,0,1,0,0,0,0,1
136860,2017,2017-10-01,117,2,2,1,0,1,0,1,0,0,0,0,0
400121,2017,2017-04-04,116,4,4,0,0,1,0,1,0,0,0,0,1
400121,2017,2017-04-06,116,3,2,1,1,0,0,0,0,0,0,0,0
400121,2017,2017-04-07,116,4,2,1,1,1,0,1,0,2,0,0,3
400121,2017,2017-04-08,116,4,3,1,1,0,0,0,0,0,0,0,0
400121,2017,2017-04-09,116,5,5,2,0,2,0,2,0,1,0,0,1
400121,2017,2017-04-10,116,3,3,2,0,1,0,1,0,0,0,0,-1
400121,2017,2017-04-11,116,4,4,0,0,1,0,1,0,0,0,0,1
