rank,pitcher,player_name,gs_to,gs_last21,fp_per_start_to,fp_per_start_last21,recency_form_gap,prior_fp_per_start,prior_source,is_on_il_at_split,xfp_rp3_per_start,xfp_rp3_sigma,xfp_rp3_p25,xfp_rp3_p75,next_opp_team,next_opp_bat_index,next2_avg_bat_index,schedule_factor,xfp_rp3_per_start_sched,replacement_xfp_per_start,replacement_delta,signal,slump_pct_rank,slump_n_comparable,slump_bounce_pct,slump_next_rate,slump_delta,mlb_id,atc,steamer,thebatx,zips,ext_n_systems,ext_mean_fp_per_g,ensemble_fp_per_start
41,571510,"Boyd, Matthew",5,3.0,10.2,8.799999999999999,-1.4,11.83601362018488,mlb_lag,0,11.410238947919268,3.550589473597954,9.015366347977448,13.805111547861088,,,,1.0,11.41,11.285,0.126,hold,60.5,118.0,76.1,0.6241,0.16,571510,12.532227313228624,12.135761316872426,11.7327472691347,11.335999999999999,4,11.934183974808937,11.619816958675134
42,800048,"Messick, Parker",7,4.0,17.0,15.95,-1.05,10.354950255469117,mlb_lag,0,11.397319132983334,3.550589473597954,9.002446533041514,13.792191732925154,MIN,0.9818,0.9818,1.0145805163082555,11.56,11.285,0.113,hold,100.0,1.0,,,,800048,10.739187931776087,10.88165020576131,10.9232891502809,10.048000000000002,4,10.648031821954575,11.09760420857183
43,672282,"Detmers, Reid",7,4.0,13.414285714285713,15.574999999999998,2.161,9.146972938072263,mlb_lag,0,11.322159096807558,3.550589473597954,8.927286496865738,13.71703169674938,TOR,0.9595,0.9595,1.053481738710508,11.93,11.285,0.038,hold,73.9,51.0,64.6,0.6533,0.0733,672282,12.416357649573753,13.187086419753088,12.367133991294232,14.582941176470586,4,13.138379809272914,12.048647381793701
44,663556,"McClanahan, Shane",6,4.0,11.1,12.25,1.15,13.127569871725669,mlb_lag,0,11.315806695985843,3.550589473597954,8.920934096044023,13.710679295927664,,,,1.0,11.32,11.285,0.031,hold,17.4,12.0,100.0,0.8708,0.1525,663556,13.752573949115932,14.491090534979422,12.838259727730728,13.929499999999999,4,13.75285605295652,12.290626438774115
45,665152,Dean Kremer,2,2.0,14.15,14.15,0.0,10.458698103150132,mlb_lag,1,11.284610121946605,3.550589473597954,8.889737522004785,13.679482721888425,,,,1.0,11.28,11.285,0.0,il,,,,,,665152,11.664648271697079,13.033179012345677,11.165062101185047,10.580769230769228,4,11.610914653999258,11.415131934767665
46,671737,"Bradley, Taj",7,3.0,14.757142857142854,11.933333333333332,-2.824,10.428959575172756,mlb_lag,0,11.266031880113308,3.550589473597954,8.871159280171486,13.660904480055128,CLE,0.9754,0.9754,1.0212375957673212,11.51,11.285,-0.019,hold,88.1,59.0,63.2,0.6848,0.0671,671737,11.10021287462461,11.896534979423869,10.342559754851887,10.514285714285714,4,10.96339833079652,11.144978460386593
47,701542,"Warren, Will",7,4.0,14.571428571428571,16.65,2.079,9.304557360454972,mlb_lag,0,11.258743514279248,3.550589473597954,8.863870914337427,13.653616114221068,,,,1.0,11.26,11.285,-0.026,hold,96.9,31.0,53.6,0.6906,0.1224,701542,11.627488627466052,12.986666666666663,12.178185224325103,10.125925925925925,4,11.729566611095937,11.447072753005923
48,682254,Mason Montgomery,2,2.0,3.8,3.8,0.0,9.03491427110423,milb_translation,0,11.23234338448913,3.550589473597954,8.83747078454731,13.62721598443095,,,,1.0,11.23,11.285,-0.052,hold,,,,,,682254,2.1999429728617916,2.093183333333333,2.546060381355932,16.326363636363634,4,5.7913875809786735,9.055961063084947
49,690986,"Harrison, Kyle",6,3.0,13.6,16.499999999999996,2.9,9.328462883934115,mlb_lag,0,11.229107076124595,3.550589473597954,8.834234476182777,13.623979676066416,NYY,1.0964,1.0964,0.9416434903093208,10.57,11.285,-0.056,hold,100.0,32.0,51.9,0.6591,0.0158,690986,11.604106818457064,12.57317059483726,12.228813128254812,10.286956521739128,4,11.673261765822065,11.406768952003583
50,650633,"King, Michael",7,4.0,14.228571428571428,14.15,-0.079,12.821873756386726,mlb_lag,0,11.178836922864472,3.550589473597954,8.783964322922653,13.573709522806292,STL,1.032,1.032,0.9872564931859557,11.04,11.285,-0.106,hold,53.4,31.0,85.2,0.8299,0.1646,650633,12.767970241550124,12.59218449931413,12.12811966123969,11.805000000000001,4,12.323318600525985,11.636629593929076
51,657277,"Webb, Logan",6,3.0,12.6,12.633333333333333,0.033,13.817425495757009,mlb_lag,0,11.1667750233138,3.550589473597954,8.77190242337198,13.56164762325562,,,,1.0,11.17,11.285,-0.118,hold,28.5,49.0,100.0,0.7966,0.244,657277,14.944428285585559,14.0944,15.35657722122838,15.15625,4,14.887913876703484,12.655230564669674
52,669022,"Gore, MacKenzie",7,4.0,11.057142857142855,5.375,-5.682,10.4518537123004,mlb_lag,0,11.157094440581089,3.550589473597954,8.762221840639269,13.551967040522907,NYY,1.0964,1.0964,0.9204519978944476,10.27,11.285,-0.128,hold,65.6,63.0,65.0,0.6724,0.0835,669022,12.684498085875404,12.631430041152264,12.979010515059707,12.175862068965518,4,12.617700177763222,11.741336735453942
53,645261,"Alcantara, Sandy",7,3.0,13.7,6.333333333333332,-7.367,10.274896521628463,mlb_lag,0,11.146933574004688,3.550589473597954,8.752060974062868,13.541806173946508,WSH,1.0023,1.0023,0.976228256223992,10.88,11.285,-0.138,hold,47.2,77.0,84.4,0.704,0.1733,645261,11.942437892197145,11.314616634178035,10.597439506172838,12.268846153846154,4,11.530835046598543,11.30049416304223
54,608379,"Wacha, Michael",6,3.0,14.316666666666665,5.8666666666666645,-8.45,12.20251365309582,mlb_lag,0,11.031337196754148,3.550589473597954,8.636464596812328,13.426209796695968,DET,1.0667,1.0667,0.8873362082730702,9.79,11.285,-0.253,hold,72.2,184.0,63.5,0.6668,0.0741,608379,10.557490977681345,10.10659807956104,9.238796292931129,10.403461538461539,4,10.076586722158762,10.649437006915994
