pitcher,fp_per_start_5-day,fp_per_start_6-day,fp_per_start_7+ day,fp_per_start_short(<=4),gs_5-day,gs_6-day,gs_7+ day,gs_short(<=4),annual_rate,total_gs,lift_short(<=4)_pct,lift_5-day_pct,lift_6-day_pct,lift_7+ day_pct,player_name,rank
592229,6.453333333333332,0.8555555555555545,9.357142857142856,,15.0,9.0,7.0,,5.483870967741933,31,,17.7,-84.4,70.6,,
592314,12.948275862068964,13.236363636363635,3.339999999999999,-1.8000000000000007,29.0,33.0,10.0,1.0,11.560273972602738,73,-115.6,12.0,14.5,-71.1,,
592332,12.436842105263157,15.004444444444443,9.993749999999999,1.2999999999999972,76.0,90.0,32.0,1.0,13.149246231155779,199,-90.1,-5.4,14.1,-24.0,"Gausman, Kevin",17.0
592346,3.191666666666665,5.166666666666665,5.594117647058823,,12.0,3.0,17.0,,4.653124999999999,32,,-31.4,11.0,20.2,,
592351,10.952173913043477,9.537254901960782,11.303225806451612,,69.0,51.0,31.0,,10.546357615894038,151,,3.8,-9.6,7.2,,
592644,6.857142857142855,10.528571428571427,10.488888888888887,,14.0,7.0,9.0,,8.803333333333331,30,,-22.1,19.6,19.1,,
592662,12.62222222222222,14.239285714285714,14.06470588235294,,81.0,56.0,17.0,,13.369480519480517,154,,-5.6,6.5,5.2,"Ray, Robbie",55.0
592716,8.874999999999998,8.379999999999999,9.784615384615382,,16.0,10.0,13.0,,9.05128205128205,39,,-1.9,-7.4,8.1,,
592717,5.042307692307691,6.537499999999999,5.99,,26.0,24.0,10.0,,5.798333333333332,60,,-13.0,12.7,3.3,,
592761,6.283333333333332,11.7,11.5625,,18.0,28.0,8.0,,9.874074074074073,54,,-36.4,18.5,17.1,,
592767,9.329411764705881,9.533333333333333,6.155555555555555,,34.0,24.0,27.0,,8.378823529411765,85,,11.3,13.8,-26.5,,
592773,4.016666666666667,4.083333333333333,5.449999999999999,3.9821428571428568,12.0,12.0,2.0,28.0,4.066666666666666,54,-2.1,-1.2,0.4,34.0,,
592789,12.002857142857142,9.929729729729727,10.229166666666666,,35.0,37.0,24.0,,10.760416666666664,96,,11.5,-7.7,-4.9,,
592791,10.694520547945205,13.314084507042251,9.7,,73.0,71.0,29.0,,11.602890173410403,173,,-7.8,14.7,-16.4,"Taillon, Jameson",70.0
592826,8.531249999999998,7.89032258064516,8.954545454545453,3.8999999999999986,32.0,31.0,22.0,1.0,8.354651162790697,86,-53.3,2.1,-5.6,7.2,,
592836,8.157142857142857,10.413636363636362,8.092857142857142,13.399999999999999,49.0,44.0,28.0,1.0,8.999180327868851,122,48.9,-9.4,15.7,-10.1,"Walker, Taijuan",177.0
592866,9.183673469387754,8.038461538461537,7.943749999999999,3.1999999999999993,49.0,52.0,32.0,1.0,8.398507462686567,134,-61.9,9.3,-4.3,-5.4,,
593334,12.458333333333332,10.168965517241379,7.989473684210526,3.3,36.0,29.0,19.0,1.0,10.570588235294116,85,-68.8,17.9,-3.8,-24.4,,
593372,10.999999999999998,7.676470588235294,11.466666666666663,,12.0,17.0,3.0,,9.278125,32,,18.6,-17.3,23.6,,
593423,11.655555555555553,10.256603773584905,10.721052631578946,,45.0,53.0,19.0,,10.870085470085467,117,,7.2,-5.6,-1.4,,
593958,11.546153846153844,9.81754385964912,11.857142857142856,,78.0,57.0,28.0,,10.995092024539876,163,,5.0,-10.7,7.8,"Rodriguez, Eduardo",141.0
