mlbam_id,player_name,team,proj_ros_pa_per_teamgame,naive_pace,volume_percentile,pa_to,team_games_to,pa_per_teamgame_to,started_pct_to,lineup_spot_to,pa_per_started_game_to,pa_last21,prior1_pa_per_g,is_catcher,is_on_il_at_split,career_stage,split_day
807713,Matt Shaw,CHC,1.1566,1.47,22.6,147,100.0,1.47,0.64,7.3438,3.7188,0.0,2.6975,0,1.0,1,117
681807,David Fry,CLE,1.1554,1.5446,22.4,156,101.0,1.5446,0.5781,4.4865,3.3243,23.0,0.9691,1,0.0,3,117
691783,Jordan Lawlar,AZ,1.1523,0.44,22.2,44,100.0,0.44,1.0,7.8333,3.6667,0.0,0.4568,0,1.0,3,117
682668,Luisangel Acuña,CWS,1.149,1.6566,22.0,164,99.0,1.6566,0.8103,8.2766,3.2128,15.0,1.1914,0,0.0,2,117
660844,Leo Rivas,SEA,1.1426,1.1881,21.8,120,101.0,1.1881,0.8857,8.9032,3.6129,0.0,0.6852,0,0.0,2,117
686452,Drew Millas,WSH,1.1349,1.505,21.6,152,101.0,1.505,0.9091,8.025,3.7,17.0,0.3395,1,1.0,3,117
665953,Andrés Chaparro,WSH,1.1296,0.7723,21.4,78,101.0,0.7723,0.625,2.95,3.15,24.0,0.4506,0,0.0,2,117
669743,Alex Call,LAD,1.1285,1.3564,21.2,137,101.0,1.3564,0.5098,6.9231,3.9231,11.0,1.9877,0,0.0,4,117
641598,Mitch Garver,SEA,1.1227,1.3366,21.1,135,101.0,1.3366,0.7619,7.125,3.7812,15.0,1.7901,1,0.0,9,117
664728,Kyle Isbel,KC,1.1203,1.8119,20.9,183,101.0,1.8119,0.9455,9.0,3.4615,0.0,2.5247,0,1.0,5,117
664954,Brett Sullivan,COL,1.1195,1.3529,20.7,138,102.0,1.3529,0.7333,8.0909,3.697,21.0,0.0556,1,0.0,3,117
682987,Spencer Jones,NYY,1.1173,0.83,20.5,83,100.0,0.83,0.8214,6.4348,3.3043,5.0,0.0,0,0.0,0,117
595978,Austin Hedges,CLE,1.1032,1.4653,20.3,148,101.0,1.4653,0.9545,8.0952,3.4762,21.0,1.1111,1,0.0,11,117
666310,Bo Naylor,CLE,1.102,0.8911,20.1,90,101.0,0.8911,0.8519,7.087,3.6522,0.0,2.5556,1,0.0,4,117
