batter,home_team,pa,core_fp,rate,annual_rate,total_pa,lift_pct,player_name,team,rank
455117,SD,79,-3,-0.0379746835443038,0.10303633648581384,2009,-136.9,,,
455117,SEA,110,27,0.24545454545454545,0.10303633648581384,2009,138.2,,,
455117,TEX,84,15,0.17857142857142858,0.10303633648581384,2009,73.3,,,
455117,TOR,70,15,0.21428571428571427,0.10303633648581384,2009,108.0,,,
455139,ATH,58,3,0.05172413793103448,0.1657271702367531,887,-68.8,,,
455139,BAL,130,-8,-0.06153846153846154,0.1657271702367531,887,-137.1,,,
455139,CHC,61,2,0.03278688524590164,0.1657271702367531,887,-80.2,,,
455139,HOU,239,84,0.3514644351464435,0.1657271702367531,887,112.1,,,
455139,LAA,52,1,0.019230769230769232,0.1657271702367531,887,-88.4,,,
455139,NYY,40,-3,-0.075,0.1657271702367531,887,-145.3,,,
455139,SEA,54,34,0.6296296296296297,0.1657271702367531,887,279.9,,,
455139,TEX,253,34,0.13438735177865613,0.1657271702367531,887,-18.9,,,
455976,ATL,575,203,0.35304347826086957,0.3503030303030303,825,0.8,,,
455976,MIA,68,30,0.4411764705882353,0.3503030303030303,825,25.9,,,
455976,NYM,65,25,0.38461538461538464,0.3503030303030303,825,9.8,,,
455976,PHI,52,10,0.19230769230769232,0.3503030303030303,825,-45.1,,,
455976,WSH,65,21,0.3230769230769231,0.3503030303030303,825,-7.8,,,
456715,ATL,46,8,0.17391304347826086,0.2615844544095665,1338,-33.5,,,
456715,CHC,107,26,0.24299065420560748,0.2615844544095665,1338,-7.1,,,
456715,CIN,78,30,0.38461538461538464,0.2615844544095665,1338,47.0,,,
456715,MIA,43,5,0.11627906976744186,0.2615844544095665,1338,-55.5,,,
456715,MIL,805,210,0.2608695652173913,0.2615844544095665,1338,-0.3,,,
456715,PHI,52,22,0.4230769230769231,0.2615844544095665,1338,61.7,,,
456715,PIT,106,22,0.20754716981132076,0.2615844544095665,1338,-20.7,,,
456715,STL,101,27,0.26732673267326734,0.2615844544095665,1338,2.2,,,
456781,AZ,66,35,0.5303030303030303,0.25505226480836235,1435,107.9,,,
456781,CHC,58,14,0.2413793103448276,0.25505226480836235,1435,-5.4,,,
456781,CIN,167,44,0.2634730538922156,0.25505226480836235,1435,3.3,,,
456781,COL,47,24,0.5106382978723404,0.25505226480836235,1435,100.2,,,
456781,LAD,77,11,0.14285714285714285,0.25505226480836235,1435,-44.0,,,
456781,MIL,46,8,0.17391304347826086,0.25505226480836235,1435,-31.8,,,
456781,MIN,245,58,0.23673469387755103,0.25505226480836235,1435,-7.2,,,
456781,PHI,46,8,0.17391304347826086,0.25505226480836235,1435,-31.8,,,
456781,SD,192,62,0.3229166666666667,0.25505226480836235,1435,26.6,,,
456781,SEA,100,8,0.08,0.25505226480836235,1435,-68.6,,,
456781,SF,302,68,0.2251655629139073,0.25505226480836235,1435,-11.7,,,
456781,STL,49,12,0.24489795918367346,0.25505226480836235,1435,-4.0,,,
456781,TEX,40,14,0.35,0.25505226480836235,1435,37.2,,,
457705,ATL,79,26,0.3291139240506329,0.2674521354933726,3395,23.1,,,
457705,AZ,91,14,0.15384615384615385,0.2674521354933726,3395,-42.5,,,
457705,BOS,60,13,0.21666666666666667,0.2674521354933726,3395,-19.0,,,
457705,CHC,136,48,0.35294117647058826,0.2674521354933726,3395,32.0,,,
457705,CIN,103,43,0.4174757281553398,0.2674521354933726,3395,56.1,,,
457705,COL,96,40,0.4166666666666667,0.2674521354933726,3395,55.8,,,
457705,LAD,105,14,0.13333333333333333,0.2674521354933726,3395,-50.1,,,
457705,MIA,107,37,0.34579439252336447,0.2674521354933726,3395,29.3,,,
457705,MIL,354,84,0.23728813559322035,0.2674521354933726,3395,-11.3,,,
457705,MIN,44,11,0.25,0.2674521354933726,3395,-6.5,,,
457705,NYM,93,4,0.043010752688172046,0.2674521354933726,3395,-83.9,,,
457705,NYY,65,22,0.3384615384615385,0.2674521354933726,3395,26.6,,,
457705,PHI,476,133,0.27941176470588236,0.2674521354933726,3395,4.5,,,
457705,PIT,852,213,0.25,0.2674521354933726,3395,-6.5,,,
457705,SD,82,26,0.3170731707317073,0.2674521354933726,3395,18.6,,,
457705,SEA,44,12,0.2727272727272727,0.2674521354933726,3395,2.0,,,
457705,SF,345,95,0.2753623188405797,0.2674521354933726,3395,3.0,,,
457705,STL,124,22,0.1774193548387097,0.2674521354933726,3395,-33.7,,,
457705,TB,46,16,0.34782608695652173,0.2674521354933726,3395,30.1,,,
457705,WSH,93,35,0.3763440860215054,0.2674521354933726,3395,40.7,,,
457708,ATH,88,8,0.09090909090909091,0.20816326530612245,980,-56.3,,,
457708,HOU,72,-1,-0.013888888888888888,0.20816326530612245,980,-106.7,,,
457708,LAA,613,170,0.27732463295269166,0.20816326530612245,980,33.2,,,
457708,SEA,86,7,0.08139534883720931,0.20816326530612245,980,-60.9,,,
457708,TEX,75,9,0.12,0.20816326530612245,980,-42.4,,,
457708,TOR,46,11,0.2391304347826087,0.20816326530612245,980,14.9,,,
