rank,name,proj,tag,gs,l4_st,n,sd,lo,hi,l4_all,l8_st,last,d_l4_l8,mid,nst,p90,mx,boom,big,bust,sdev,k_st,k_mx,ip_st,zp90,zbig,ceil
159,"Pfaadt, Brandon",9.480741822717505,data_driven_full,10,14.125,4,6.323171672507399,7.8,20.1,14.125,13.625,2026-08-03,0.5,694297,10.0,19.11,20.1,30.0,0.0,10.0,5.793636355711517,3.2,6.0,5.7333300000000005,0.47311905379888863,-0.6964664501239697,-0.11167369816254052
241,"Assad, Javier",8.309398202001665,data_driven_full,10,11.725,4,2.1360009363293826,9.5,13.7,9.3,12.95,2026-08-04,-1.224999999999998,665871,10.0,18.91,20.8,20.0,0.0,10.0,9.544306039612193,3.5,6.0,5.20001,0.4208851030610073,-0.6964664501239697,-0.1377906735314812
53,"Jax, Griffin",11.85939524921208,data_driven_full,18,13.625,4,10.08410465369468,-1.5,18.8,13.625,13.975,2026-08-02,-0.3499999999999996,643377,18.0,18.56,18.8,22.22222222222222,0.0,16.666666666666664,6.5742814413887265,5.0,10.0,4.592594444444445,0.32947568926971416,-0.6964664501239697,-0.18349538042712776
109,"Prielipp, Connor",10.222074962112757,data_driven_full,15,13.9,4,5.095749863039459,8.6,18.7,13.9,11.0375,2026-08-01,2.8625000000000007,687570,15.0,18.34,20.8,20.0,0.0,20.0,7.467631740352748,5.4,10.0,5.177773333333334,0.27201834345804476,-0.6964664501239697,-0.21222405333296246
292,"Quantrill, Cal",7.487857415409175,data_driven_thin,7,10.35,4,12.41759504359305,-7.8,19.6,7.625,9.814285714285717,2026-08-03,0.5357142857142865,615698,7.0,17.92,19.6,14.285714285714285,0.0,28.57142857142857,9.529677953885006,3.2857142857142856,7.0,4.6190428571428575,0.16232704690849398,-0.6964664501239697,-0.26706970160773785
283,"Lauer, Eric",7.6567068862362095,data_driven_full,15,7.85,4,12.369182134105175,-8.8,20.8,7.85,8.5125,2026-08-05,-0.6624999999999988,641778,15.0,17.88,20.8,13.333333333333334,0.0,33.33333333333333,8.51429050814822,3.1333333333333333,9.0,5.06666,0.15188025676091696,-0.6964664501239697,-0.27229309668152635
130,"Manaea, Sean",9.855242467938297,data_driven_full,10,9.7,4,3.746998799039039,4.4,12.8,9.7,8.625,2026-08-04,1.075000000000001,640455,10.0,17.830000000000002,18.1,20.0,0.0,30.0,6.567292694355364,5.0,7.0,5.46667,0.13882176907644733,-0.6964664501239697,-0.2788223405237612
238,"Feltner, Ryan",8.328699038944457,data_driven_full,16,-2.675,4,9.512228971171794,-16.3,5.8,-2.675,5.012500000000001,2026-08-01,-7.687500000000001,663372,16.0,17.8,18.8,18.75,0.0,43.75,9.617406095200513,3.5625,9.0,4.7916625,0.13098667646576478,-0.6964664501239697,-0.28273988682910245
44,"Ureña, Walbert",12.31932144067584,data_driven_full,18,16.15,4,4.467288513927286,10.2,20.8,16.15,13.15,2026-08-02,3.0,700712,18.0,17.8,20.8,27.77777777777778,0.0,11.11111111111111,6.574979808115321,5.166666666666667,8.0,5.425927777777778,0.13098667646576478,-0.6964664501239697,-0.28273988682910245
108,"Holmes, Grant",10.274331688590522,data_driven_full,21,9.05,4,6.715405175167517,3.5,18.8,9.05,8.525,2026-08-04,0.5250000000000004,656550,21.0,17.8,19.8,14.285714285714285,0.0,19.047619047619047,6.378759395726682,4.190476190476191,10.0,4.952390476190476,0.13098667646576478,-0.6964664501239697,-0.28273988682910245
189,"Leahy, Kyle",8.949209827203328,data_driven_full,21,15.325,4,3.656387105691445,10.9,18.8,15.325,15.5,2026-07-31,-0.1750000000000007,681517,21.0,17.8,18.9,14.285714285714285,0.0,23.809523809523807,6.111760715834599,4.333333333333333,9.0,5.1111047619047625,0.13098667646576478,-0.6964664501239697,-0.28273988682910245
