pid,year,n,sup_z,split,p,abs_i,abs_gap,sig
657277,2021,26,1.3825700623707553,14,0.6259351620947631,9,41,False
657277,2022,32,1.663359794125039,7,0.7231920199501247,,0,False
657277,2023,33,2.3470886411524514,20,0.18703241895261846,,0,False
657277,2024,33,1.2195329472942225,7,0.5586034912718204,,0,False
657277,2025,34,1.7368118365377456,5,0.655860349127182,,0,False
657277,2026,24,1.121729190339532,14,0.770573566084788,,0,False
657376,2023,32,2.2255865702930544,12,0.2743142144638404,,0,False
657376,2024,16,0.507769613595533,11,0.7805486284289277,11,104,False
657746,2022,27,1.9735052545830942,14,0.32917705735660846,,0,False
657746,2023,29,1.2965520769608287,16,0.7755610972568578,,0,False
657746,2024,23,1.4832512235079636,5,0.3915211970074813,,0,False
657746,2025,30,1.1769503739399685,9,0.770573566084788,,0,False
657746,2026,23,1.776086502895815,17,0.2743142144638404,,0,False
659275,2017,21,1.5339416594941613,5,0.4114713216957606,,0,False
660271,2021,23,1.8606667357135858,9,0.23690773067331672,,0,False
660271,2022,28,2.185720292788051,17,0.38154613466334164,,0,False
660271,2023,23,2.245557888767765,7,0.22693266832917705,,0,False
660623,2021,17,1.6447634172842744,5,0.28428927680798005,8,93,False
660761,2019,15,3.049021709373882,8,0.032418952618453865,,0,False
660761,2022,20,1.16669366664804,5,0.5985037406483791,,0,False
661269,2021,22,1.3435734384898357,12,0.6758104738154613,,0,False
661563,2024,29,2.2651370313528343,12,0.22443890274314215,,0,False
663362,2024,26,1.3149602188691707,11,0.7755610972568578,,0,False
663372,2022,19,2.059371802926245,5,0.09725685785536159,7,37,False
663372,2024,30,1.6924247141774222,5,0.6658354114713217,,0,False
663372,2026,20,1.3931775767780312,9,0.7456359102244389,,0,False
663423,2019,29,1.969104524237508,11,0.4014962593516209,,0,False
663436,2025,25,1.9910669258346332,11,0.11970074812967581,13,40,False
663436,2026,24,3.398787232041661,11,0.00997506234413965,,0,False
663460,2021,20,1.0254887115414189,10,0.7456359102244389,,0,False
663460,2022,27,1.5880352150873807,22,0.5236907730673317,,0,False
663460,2025,20,1.6154068365183687,12,0.28428927680798005,,0,False
663465,2021,17,2.4713563812806165,7,0.14962593516209477,,0,False
663474,2021,24,1.958981101836185,11,0.33915211970074816,10,27,False
663474,2022,30,1.6502315302053072,21,0.6408977556109726,,0,False
663474,2024,16,1.2045433196109407,5,0.743142144638404,,0,False
663554,2021,30,1.0690295425260887,7,0.7331670822942643,,0,False
663554,2024,20,1.6256722329530084,14,0.7182044887780549,,0,False
663554,2025,28,1.676918386151734,23,0.5461346633416458,,0,False
663554,2026,20,2.6732695811890856,15,0.11221945137157108,,0,False
663556,2021,25,1.1057504325260852,19,0.571072319201995,,0,False
663556,2022,28,4.113963762279862,19,0.0024937655860349127,,0,False
663556,2023,21,2.217868160719202,8,0.0399002493765586,,0,False
663556,2026,22,1.4668043681641636,9,0.1970074812967581,,0,False
663559,2022,16,0.8050330050863213,7,0.6708229426433915,,0,False
663559,2023,14,0.37488005884737396,7,0.942643391521197,7,91,False
663559,2024,28,1.000640906373728,10,0.9351620947630923,,0,False
663559,2025,24,1.446549199843649,10,0.6209476309226932,,0,False
663567,2019,19,2.4772076395423044,10,0.3092269326683292,,0,False
663567,2026,22,0.8708955903812138,13,0.9002493765586035,,0,False
663568,2025,19,1.084138209906674,4,0.7256857855361596,14,34,False
663623,2023,24,1.6867764112070107,12,0.4463840399002494,,0,False
663623,2024,33,1.76547574328359,18,0.5062344139650873,,0,False
663623,2025,33,2.355666220349616,5,0.28428927680798005,,0,False
663623,2026,16,1.9106763038518917,11,0.24937655860349128,11,68,False
663738,2022,27,2.042822980286834,17,0.4114713216957606,,0,False
663776,2022,27,0.8351076807314743,14,0.9576059850374065,,0,False
663776,2023,28,2.2343910694649582,10,0.1770573566084788,,0,False
663776,2024,16,1.3427863924053023,8,0.5062344139650873,,0,False
663855,2024,20,1.286310872514692,5,0.85785536159601,,0,False
663903,2021,27,0.8018976151365029,18,0.7830423940149626,19,25,False
