Pitcher,MLBAMID,Num_Pitches,PLV,PLA,FF,SI,SL,CH,CU,FC,FS
Noah Syndergaard,592789,2026,5.054802566633762,2.911036611386139,3.614641471767944,3.139377875660195,2.790341136516385,2.304440514128785,2.616693680535554,8.161797571428572,8.161797571428572
José Suarez,660761,1783,5.12543466068424,2.912805,2.5384381639528524,2.070529643369474,2.51357540048379,4.105627515454223,2.782518348415346,8.161797571428572,8.161797571428572
Devin Williams,642207,1064,5.185582706766917,2.9180444753366936,3.786940411345412,8.161797571428572,8.161797571428572,2.1293515180571854,8.161797571428572,6.348085543110736,8.161797571428572
Nabil Crismatt,622503,1059,5.0951935788479705,2.9211099656410404,3.5902035355307684,5.46661214108911,8.161797571428572,1.9832153538769608,3.657148808168317,8.161797571428572,8.161797571428572
Tanner Rainey,663432,520,5.191076923076923,2.9214973805769238,2.81608836,8.161797571428572,3.181506298,8.161797571428572,8.161797571428572,8.161797571428572,8.161797571428572
Joel Kuhnel,669270,926,5.116198704103672,2.9232625344827583,2.8446180405936268,3.387583533926585,2.684114488712478,2.5867196778996866,8.161797571428572,8.161797571428572,8.161797571428572
Bruce Zimmermann,669145,1130,5.067681415929203,2.9380829457013573,3.4470652703312323,3.039162471410941,2.57378376147382,2.377008549590314,3.511704214963119,8.161797571428572,8.161797571428572
Nick Vespi,663989,446,5.154955156950673,2.944051632911392,3.1476953262206147,8.161797571428572,2.6780778667554967,8.161797571428572,2.9858414547224923,8.161797571428572,8.161797571428572
Jameson Taillon,592791,2803,5.0880770602925445,2.9441644511278198,2.9403273555174256,3.585462542616398,2.397797094781445,2.985264428071761,3.024274927222948,3.100218572036709,8.161797571428572
Lance McCullers Jr.,621121,759,5.07364953886693,2.9444715944055946,8.161797571428572,3.7460723225806456,1.6162082307692307,2.758632907342658,2.802522115384616,6.4745154276923085,8.161797571428572
Rich Hill,448179,1981,5.095784957092378,2.944748494207031,3.333996106492009,8.161797571428572,2.2066780248504845,5.112385307279852,2.751467340526584,2.3478174950460424,8.161797571428572
Triston McKenzie,663474,2805,5.002467023172905,2.946763233494196,2.457175458762565,8.161797571428572,3.538473712238256,8.161797571428572,3.591036614847264,8.161797571428572,8.161797571428572
Ryan Yarbrough,642232,1354,5.136432791728212,2.9480493375,8.161797571428572,4.187531213839286,3.181629987209302,2.909883082883524,2.394491221551724,2.7371574453488376,8.161797571428572
Blake Snell,605483,2341,5.200439982913284,2.951298421875,2.8291164931685766,8.161797571428572,2.5532551990346857,5.461091162749475,3.2020265528846155,8.161797571428572,8.161797571428572
Adam Cimber,643256,1044,5.019789272030652,2.954634325471698,3.296434054706727,2.251888317927601,3.19843032535665,8.161797571428572,8.161797571428572,8.161797571428572,8.161797571428572
Dillon Tate,622253,1063,4.993659454374412,2.9639028067707285,8.161797571428572,2.436184921125825,2.8712972386146607,4.187281285600212,8.161797571428572,8.161797571428572,8.161797571428572
Marcus Stroman,573186,2170,5.08289861751152,2.9649570578917057,3.837938175041605,3.2549245939528686,1.8217492254356973,8.161797571428572,8.161797571428572,2.878702694128253,3.967153473065338
Dustin May,669160,474,5.054388185654008,2.96628,2.635669172477064,2.5230857386861314,8.161797571428572,4.277476066666667,3.505018122,3.040320475247525,8.161797571428572
Trevor Gott,641627,752,5.129015957446809,2.967176745670912,2.3664903032932925,3.655964386463172,3.050173225651721,8.161797571428572,4.3454078489612575,2.6422562582946254,8.161797571428572
Brandon Woodruff,605540,2536,5.126115930599369,2.9770303891304346,2.7791837807948787,3.617954440022502,3.2594306762471392,2.9732481091177707,2.251493792119565,8.161797571428572,8.161797571428572
Jarlín García,606424,1014,5.062031558185404,2.9789898923076925,2.5739396441379307,8.161797571428572,3.333069583275261,3.234387106849314,8.161797571428572,8.161797571428572,8.161797571428572
Tyler Alexander,641302,1590,5.072283018867925,2.979884762376237,2.537738578500707,3.806324777953366,2.351710264202891,3.1154557141891663,8.161797571428572,2.9590859741409434,8.161797571428572
Scott Barlow,605130,1198,5.081444073455759,2.982130506726458,3.257252119180805,8.161797571428572,2.701406048035267,8.161797571428572,3.165652576781796,8.161797571428572,8.161797571428572
Braxton Garrett,666129,1430,5.106293706293706,2.9833355454545454,3.705778728260869,2.404694269911504,2.7193807483731023,4.198605220588235,2.334496484899329,8.161797571428572,8.161797571428572
Tyler Mahle,641816,2101,5.153269871489767,2.984398980662984,2.28904794198895,8.161797571428572,3.183339751667774,8.161797571428572,8.161797571428572,3.363180973480663,4.196018575958581
José Berríos,621244,2719,5.077874218462671,2.985263738372093,3.086973683096842,3.011541489330167,8.161797571428572,3.704674070504617,2.515487645010496,8.161797571428572,8.161797571428572
Steven Wilson,621051,874,5.099199084668193,2.988794716981132,3.077029685534591,8.161797571428572,2.7547581403901504,4.210471698113207,2.065591811320755,8.161797571428572,8.161797571428572
George Kirby,669923,2091,5.105050215208034,2.9893151076923075,3.336768565789892,3.191661915840939,1.964644319822485,3.258255433763242,3.075295897703376,8.161797571428572,8.161797571428572
Adam Ottavino,493603,1053,5.079012345679012,2.990354669009501,4.26736289789592,3.507121695136347,1.882174568527919,5.041823850219039,8.161797571428572,3.128670059742288,8.161797571428572
Drew Smyly,592767,1715,5.102997084548105,2.99112084138845,3.618620440681253,2.9742158786902757,8.161797571428572,8.161797571428572,2.656883050131288,3.577800649919512,8.161797571428572
Marco Gonzales,594835,2832,5.04776836158192,2.991811868852458,3.4225835962510875,4.191697588816099,8.161797571428572,1.7882192555895369,2.436221876855557,3.717670090812595,8.161797571428572
